Element Number	Equivalent (von-Mises) Stress (psi)
1367	5.2781
1368	6.7928
1369	6.5719
1370	5.2954
1371	5.5042
1372	6.7877
1373	6.5496
1374	5.2947
1375	5.5027
1376	6.5408
1377	6.0906
1378	5.8728
1379	5.5092
1380	5.9459
1381	6.1384
1382	6.5618
1383	6.5724
1384	5.8834
1385	6.1489
1386	6.0966
1387	5.9134
1388	6.1165
1389	5.9234
1390	1.57
1391	1.7627
1392	1.8716
1393	1.6483
1394	1.2147
1395	1.5064
1396	1.3276
1397	1.8949
1398	1.8378
1399	1.6111
1400	1.5572
1401	1.5537
1402	1.9147
1403	1.8984
1404	0.24673
1405	0.37237
1406	0.76789
1407	0.61304
1408	0.86834
1409	0.98878
1410	0.40191
1411	0.33884
1412	0.37181
1413	0.53025
1414	0.24302
1415	1.0467
1416	0.97333
1417	0.75794
1418	0.46067
1419	0.65309
1420	0.66467
1421	0.79663
1422	0.76884
1423	0.71451
1424	0.5925
1425	0.358
1426	0.91754
1427	0.47832
1428	0.46966
1429	3.6368
1430	5.2614
1431	6.9799
1432	4.076
1433	4.2684
1434	5.3182
1435	3.7268
1436	5.4146
1437	3.6257
1438	5.3634
1439	7.0859
1440	5.5226
1441	4.1741
1442	7.162
1443	7.8093
1444	7.4641
1445	7.1602
1446	7.1321
1447	6.9406
1448	7.9515
1449	7.8094
1450	7.4663
1451	6.9948
1452	7.586
1453	7.4145
1454	7.4053
1455	7.8023
1456	2.3199
1457	2.335
1458	2.8346
1459	2.0892
1460	2.0685
1461	3.1029
1462	3.4937
1463	2.1164
1464	2.7338
1465	3.2071
1466	3.5431
1467	3.3154
1468	3.6785
1469	3.9245
1470	2.1128
1471	1.4967
1472	1.7039
1473	3.0463
1474	2.3859
1475	3.4072
1476	3.248
1477	2.5693
1478	2.7125
1479	3.0318
1480	2.2849
1481	2.3715
1482	3.2357
1483	2.3355
1484	3.6657
1485	3.5137
1486	3.4383
1487	5.0184
1488	6.5792
1489	3.9368
1490	6.5774
1491	4.9297
1492	5.8963
1493	4.8297
1494	4.1644
1495	3.1301
1496	7.3643
1497	7.042
1498	3.2554
1499	6.4815
1500	4.5927
1501	5.323
1502	3.6098
1503	5.4216
1504	6.1543
1505	0.66172
1506	0.87507
1507	0.58739
1508	0.55252
1509	0.56705
1510	0.64144
1511	0.75865
1512	0.9394
1513	0.69862
1514	0.47539
1515	0.46145
1516	0.46474
1517	0.52547
1518	0.94989
1519	0.47303
1520	0.44145
1521	0.71447
1522	0.56002
1523	0.91296
1524	0.89603
1525	0.89442
1526	0.84361
1527	0.95557
1528	1.0003
1529	1.0848
1530	1.0266
1531	0.83207
1532	1.0446
1533	1.1522
1534	1.0865
1535	0.79328
1536	0.79749
1537	0.75018
1538	1.1365
1539	0.93723
1540	0.91611
1541	1.0635
1542	0.99798
1543	0.98451
1544	0.97633
1545	0.97123
1546	1.0687
1547	1.0779
1548	1.1361
1549	1.0864
1550	1.1999
1551	1.3716
1552	1.1877
1553	1.3271
1554	1.2085
1555	1.3702
