Node Number	X Location (in)	Y Location (in)	Z Location (in)	
411	-1.131	-0.99567	0.7	
412	-1.1452	-0.94877	0.7	
413	-1.15	0.9	0.7	
414	-1.15	0.85	0.7	
415	-1.15	0.8	0.7	
416	-1.15	0.75	0.7	
417	-1.15	0.7	0.7	
418	-1.15	0.65	0.7	
419	-1.15	0.6	0.7	
420	-1.15	0.55	0.7	
421	-1.15	0.5	0.7	
422	-1.15	0.45	0.7	
423	-1.15	0.4	0.7	
424	-1.15	0.35	0.7	
425	-1.15	0.3	0.7	
426	-1.15	0.25	0.7	
427	-1.15	0.2	0.7	
428	-1.15	0.15	0.7	
429	-1.15	0.1	0.7	
430	-1.15	5.e-002	0.7	
431	-1.15	3.4148e-016	0.7	
432	-1.15	-5.e-002	0.7	
433	-1.15	-1.e-001	0.7	
434	-1.15	-0.15	0.7	
435	-1.15	-0.2	0.7	
436	-1.15	-0.25	0.7	
437	-1.15	-0.3	0.7	
438	-1.15	-0.35	0.7	
439	-1.15	-0.4	0.7	
440	-1.15	-0.45	0.7	
441	-1.15	-0.5	0.7	
442	-1.15	-0.55	0.7	
443	-1.15	-0.6	0.7	
444	-1.15	-0.65	0.7	
445	-1.15	-0.7	0.7	
446	-1.15	-0.75	0.7	
447	-1.15	-0.8	0.7	
448	-1.15	-0.85	0.7	
449	-0.9	1.15	0.7	
450	-0.94877	1.1452	0.7	
451	-0.99567	1.131	0.7	
452	-1.0389	1.1079	0.7	
453	-1.0768	1.0768	0.7	
454	-1.1079	1.0389	0.7	
455	-1.131	0.99567	0.7	
456	-1.1452	0.94877	0.7	
457	0.9	1.15	0.7	
458	0.85	1.15	0.7	
459	0.8	1.15	0.7	
460	0.75	1.15	0.7	
461	0.7	1.15	0.7	
462	0.65	1.15	0.7	
463	0.6	1.15	0.7	
464	0.55	1.15	0.7	
465	0.5	1.15	0.7	
466	0.45	1.15	0.7	
467	0.4	1.15	0.7	
468	0.35	1.15	0.7	
469	0.3	1.15	0.7	
470	0.25	1.15	0.7	
471	0.2	1.15	0.7	
472	0.15	1.15	0.7	
473	1.e-001	1.15	0.7	
474	5.e-002	1.15	0.7	
475	0.	1.15	0.7	
476	-5.e-002	1.15	0.7	
477	-1.e-001	1.15	0.7	
478	-0.15	1.15	0.7	
479	-0.2	1.15	0.7	
480	-0.25	1.15	0.7	
481	-0.3	1.15	0.7	
482	-0.35	1.15	0.7	
483	-0.4	1.15	0.7	
484	-0.45	1.15	0.7	
485	-0.5	1.15	0.7	
486	-0.55	1.15	0.7	
487	-0.6	1.15	0.7	
488	-0.65	1.15	0.7	
489	-0.7	1.15	0.7	
490	-0.75	1.15	0.7	
491	-0.8	1.15	0.7	
492	-0.85	1.15	0.7	
493	0.94877	1.1452	0.7	
494	0.99567	1.131	0.7	
495	1.0389	1.1079	0.7	
496	1.0768	1.0768	0.7	
497	1.1079	1.0389	0.7	
498	1.131	0.99567	0.7	
499	1.1452	0.94877	0.7	
500	-0.375	4.5924e-017	1.1079	
501	-0.37179	4.8947e-002	1.1079	
502	-0.36222	9.7057e-002	1.1079	
503	-0.34645	0.14351	1.1079	
504	-0.32476	0.1875	1.1079	
505	-0.29751	0.22829	1.1079	
506	-0.26517	0.26517	1.1079	
507	-0.22829	0.29751	1.1079	
508	-0.1875	0.32476	1.1079	
509	-0.14351	0.34645	1.1079	
510	-9.7057e-002	0.36222	1.1079	
511	-4.8947e-002	0.37179	1.1079	
512	4.393e-016	0.375	1.1079	
513	4.8947e-002	0.37179	1.1079	
514	9.7057e-002	0.36222	1.1079	
515	0.14351	0.34645	1.1079	
516	0.1875	0.32476	1.1079	
517	0.22829	0.29751	1.1079	
518	0.26517	0.26517	1.1079	
519	0.29751	0.22829	1.1079	
520	0.32476	0.1875	1.1079	
521	0.34645	0.14351	1.1079	
522	0.36222	9.7057e-002	1.1079	
523	0.37179	4.8947e-002	1.1079	
524	0.375	-5.8052e-016	1.1079	
525	0.37179	-4.8947e-002	1.1079	
526	0.36222	-9.7057e-002	1.1079	
527	0.34645	-0.14351	1.1079	
528	0.32476	-0.1875	1.1079	
529	0.29751	-0.22829	1.1079	
530	0.26517	-0.26517	1.1079	
531	0.22829	-0.29751	1.1079	
532	0.1875	-0.32476	1.1079	
533	0.14351	-0.34645	1.1079	
534	9.7057e-002	-0.36222	1.1079	
535	4.8947e-002	-0.37179	1.1079	
536	-6.4317e-016	-0.375	1.1079	
537	-4.8947e-002	-0.37179	1.1079	
538	-9.7057e-002	-0.36222	1.1079	
539	-0.14351	-0.34645	1.1079	
540	-0.1875	-0.32476	1.1079	
541	-0.22829	-0.29751	1.1079	
542	-0.26517	-0.26517	1.1079	
543	-0.29751	-0.22829	1.1079	
544	-0.32476	-0.1875	1.1079	
545	-0.34645	-0.14351	1.1079	
546	-0.36222	-9.7057e-002	1.1079	
547	-0.37179	-4.8947e-002	1.1079	
548	-0.9	-1.15	0.	
549	-1.15	-0.9	0.	
550	-0.94877	-1.1452	0.	
551	-0.99567	-1.131	0.	
552	-1.0389	-1.1079	0.	
553	-1.0768	-1.0768	0.	
554	-1.1079	-1.0389	0.	
555	-1.131	-0.99567	0.	
556	-1.1452	-0.94877	0.	
557	-1.15	-0.9	5.e-002	
558	-1.15	-0.9	0.1	
559	-1.15	-0.9	0.15	
560	-1.15	-0.9	0.2	
561	-1.15	-0.9	0.25	
562	-1.15	-0.9	0.3	
563	-1.15	-0.9	0.35	
564	-1.15	-0.9	0.4	
565	-1.15	-0.9	0.45	
566	-1.15	-0.9	0.5	
567	-1.15	-0.9	0.55	
